v1,v2
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1372"
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1375"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1378"
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Don't forget to push your latest git branch before today's standup meeting.
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours. Ref #1381
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1384"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1387
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1390"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. Ref #1393
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1396
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1399"
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1402
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1405"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1408
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1411
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1414"
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1417"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1420"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1423"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1426
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1429"
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours.
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1432"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1435"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days. 16+ TsandCs apply. Ref #1438"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1441
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1444
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1447
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1450"
ham,Please find attached the signed non-disclosure agreement for your records.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days. 16+ TsandCs apply."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1453"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1456
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1459"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1462
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1465"
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1468"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim! Ref #1471"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1474
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1477"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1480"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1483"
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1486"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1489
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1492
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
spam,"Claim your complimentary Walmart $1,000 Gift Card today! Visit http://promo-giftcard.net before stock runs out."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1495
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1498"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1501"
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1504
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1507"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days. 16+ TsandCs apply."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1510
ham,Please find attached the signed non-disclosure agreement for your records.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1513
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1516"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1519"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1522"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1525"
ham,Don't forget to push your latest git branch before today's standup meeting.
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1528"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1531"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours. Ref #1534
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1537
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1540
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's Ref #1543
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1546
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1549
ham,Please find attached the signed non-disclosure agreement for your records.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1552
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only. Ref #1555
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1558
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1561
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
spam,You have 1 new voicemail! To listen to your message call 08712400603 from your mobile. Calls cost £1.50/min. Ref #1564
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1567
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1570
ham,Please find attached the signed non-disclosure agreement for your records.
spam,You have 1 new voicemail! To listen to your message call 08712400603 from your mobile. Calls cost £1.50/min.
spam,You have 1 new voicemail! To listen to your message call 08712400603 from your mobile. Calls cost £1.50/min. Ref #1573
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1576
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1579
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1582
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1585
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info Ref #1588
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1591
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
spam,You have 1 new voicemail! To listen to your message call 08712400603 from your mobile. Calls cost £1.50/min.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1594
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's Ref #1597
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1600"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1603
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1606
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1609
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1612
spam,Your account security has been compromised! Click http://bit.ly/secure-bank-login to verify your credentials within 24 hours.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1615
ham,Don't forget to push your latest git branch before today's standup meeting.
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1618"
ham,Please find attached the signed non-disclosure agreement for your records.
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1621"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1624
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1627
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1630"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1633
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. Ref #1636
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1639
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. Ref #1642
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1645"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1648"
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1651
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1654"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1657
spam,"Congratulations! You've been chosen for an exclusive loan offer up to $50,000 with 0% interest. Reply YES to accept immediately."
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1660
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1663"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1666
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1669
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1672"
spam,URGENT: Your mobile parcel delivery #982344 is on hold. Pay $1.99 redelivery fee at http://parcel-tracker-support.info
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Don't forget to push your latest git branch before today's standup meeting. Ref #1675
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim! Ref #1678"
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM?
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1681
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only.
ham,Can we reschedule our project discussion to tomorrow morning at 10 AM? Ref #1684
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1687"
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync. Ref #1690
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1693"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store?"
spam,Hot singles in your area want to meet you tonight! Call 09099726395 to chat live now. 18+ only. Ref #1696
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm!"
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1699
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,"I'll be arriving home in about 20 minutes, do you need anything from the grocery store? Ref #1702"
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1705
spam,"Claim your complimentary Walmart $1,000 Gift Card today! Visit http://promo-giftcard.net before stock runs out."
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1708"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Sounds good to me! Let's review the quarterly metrics during our 3 PM sync.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1711"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks! Ref #1714
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner. Ref #1717"
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success!
ham,Happy Birthday! Wishing you an amazing year ahead filled with joy and success! Ref #1720
ham,"Hey mom, I reached safely at the hotel. Will call you tonight after dinner."
ham,Don't forget to push your latest git branch before today's standup meeting.
ham,"Thanks for helping out with the data preprocessing script yesterday, it worked like a charm! Ref #1723"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Draw! Call 09064012103 now to claim!"
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM."
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1726"
ham,Please find attached the signed non-disclosure agreement for your records.
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Please find attached the signed non-disclosure agreement for your records. Ref #1729
ham,Can you send me the lecture slides from yesterday's machine learning class? Thanks!
ham,Please find attached the signed non-disclosure agreement for your records.
ham,"Hey, are you free for lunch today? Let's grab some coffee around 1 PM. Ref #1732"
